time	count
7085460.00	1.00
7085471.00	0.00
7085519.00	1.00
7085530.00	0.00
7085579.00	1.00
7085596.00	0.00
7085646.00	1.00
7086054.00	0.00
7086116.00	1.00
7086132.00	0.00
7086185.00	1.00
7086198.00	0.00
7086247.00	1.00
7086259.00	0.00
7086306.00	1.00
7086318.00	0.00
7086366.00	1.00
7086377.00	0.00
7086441.00	1.00
7086453.00	0.00
7086504.00	1.00
7086516.00	0.00
7086563.00	1.00
7086575.00	0.00
7086622.00	1.00
7086633.00	0.00
7086681.00	1.00
7086693.00	0.00
7086740.00	1.00
7086751.00	0.00
7086799.00	1.00
7086810.00	0.00
7086858.00	1.00
7086869.00	0.00
7086916.00	1.00
7086927.00	0.00
7086974.00	1.00
7086986.00	0.00
7087035.00	1.00
7087050.00	0.00
7087102.00	1.00
7087511.00	0.00
7087571.00	1.00
7087587.00	0.00
7087640.00	1.00
7087652.00	0.00
7087700.00	1.00
7087712.00	0.00
7087759.00	1.00
7087771.00	0.00
7087819.00	1.00
7087830.00	0.00
7087880.00	1.00
7087892.00	0.00
7087939.00	1.00
7087950.00	0.00
7088006.00	1.00
7088017.00	0.00
7088065.00	1.00
7088076.00	0.00
7088124.00	1.00
7088135.00	0.00
7088185.00	1.00
7088196.00	0.00
7088251.00	1.00
7088262.00	0.00
7088309.00	1.00
7088320.00	0.00
7088370.00	1.00
7088381.00	0.00
7088434.00	1.00
7088445.00	0.00
7088495.00	1.00
7088511.00	0.00
7088562.00	1.00
7088973.00	0.00
7089032.00	1.00
7089048.00	0.00
7089104.00	1.00
7089117.00	0.00
7089166.00	1.00
7089177.00	0.00
7089225.00	1.00
7089237.00	0.00
7089285.00	1.00
7089297.00	0.00
7089345.00	1.00
7089356.00	0.00
7089405.00	1.00
7089421.00	0.00
7089471.00	1.00
7089482.00	0.00
7089530.00	1.00
7089542.00	0.00
7089590.00	1.00
7089601.00	0.00
7089648.00	1.00
7089659.00	0.00
7089705.00	1.00
7089716.00	0.00
7089768.00	1.00
7089779.00	0.00
7089827.00	1.00
7089838.00	0.00
7089886.00	1.00
7089897.00	0.00
7089946.00	1.00
7089962.00	0.00
7090012.00	1.00
7090421.00	0.00
7090481.00	1.00
7090497.00	0.00
7090550.00	1.00
7090562.00	0.00
7090611.00	1.00
7090622.00	0.00
7090670.00	1.00
7090682.00	0.00
7090731.00	1.00
7090742.00	0.00
7090791.00	1.00
7090802.00	0.00
7090850.00	1.00
7090861.00	0.00
7090911.00	1.00
7090922.00	0.00
7090978.00	1.00
7090989.00	0.00
7091038.00	1.00
7091049.00	0.00
7091099.00	1.00
7091110.00	0.00
7091157.00	1.00
7091168.00	0.00
7091216.00	1.00
7091227.00	0.00
7091274.00	1.00
7091285.00	0.00
7091333.00	1.00
7091344.00	0.00
7091393.00	1.00
7091414.00	0.00
7091474.00	1.00
7091882.00	0.00
7091949.00	1.00
7091965.00	0.00
7092019.00	1.00
7092031.00	0.00
7092080.00	1.00
7092091.00	0.00
7092141.00	1.00
7092152.00	0.00
7092200.00	1.00
7092211.00	0.00
7092259.00	1.00
7092271.00	0.00
7092320.00	1.00
7092332.00	0.00
7092379.00	1.00
7092391.00	0.00
7092444.00	1.00
7092456.00	0.00
7092503.00	1.00
7092515.00	0.00
7092563.00	1.00
7092574.00	0.00
7092622.00	1.00
7092633.00	0.00
7092682.00	1.00
7092693.00	0.00
7092741.00	1.00
7092752.00	0.00
7092800.00	1.00
7092811.00	0.00
7092861.00	1.00
7092878.00	0.00
7092927.00	1.00
7093333.00	0.00
7093392.00	1.00
7093411.00	0.00
7093463.00	1.00
7093475.00	0.00
7093524.00	1.00
7093536.00	0.00
7093583.00	1.00
7093595.00	0.00
7093643.00	1.00
7093654.00	0.00
7093702.00	1.00
7093713.00	0.00
7093761.00	1.00
7093772.00	0.00
7093820.00	1.00
7093831.00	0.00
7093880.00	1.00
7093892.00	0.00
7093939.00	1.00
7093951.00	0.00
7093999.00	1.00
7094010.00	0.00
7094068.00	1.00
7094081.00	0.00
7094129.00	1.00
7094140.00	0.00
7094188.00	1.00
7094199.00	0.00
7094246.00	1.00
7094257.00	0.00
7094305.00	1.00
7094322.00	0.00
7094371.00	1.00
7094782.00	0.00
7094841.00	1.00
7094857.00	0.00
7094916.00	1.00
7094929.00	0.00
7094979.00	1.00
7094991.00	0.00
7095039.00	1.00
7095051.00	0.00
7095099.00	1.00
7095111.00	0.00
7095158.00	1.00
7095170.00	0.00
7095218.00	1.00
7095230.00	0.00
7095277.00	1.00
7095288.00	0.00
7095336.00	1.00
7095347.00	0.00
7095394.00	1.00
7095410.00	0.00
7095460.00	1.00
7095471.00	0.00
7095520.00	1.00
7095531.00	0.00
7095579.00	1.00
7095590.00	0.00
7095638.00	1.00
7095649.00	0.00
7095696.00	1.00
7095708.00	0.00
7095757.00	1.00
7095773.00	0.00
7095823.00	1.00
7096226.00	0.00
7096285.00	1.00
7096300.00	0.00
7096350.00	1.00
7096363.00	0.00
7096416.00	1.00
7096429.00	0.00
7096478.00	1.00
7096490.00	0.00
7096538.00	1.00
7096549.00	0.00
7096597.00	1.00
7096609.00	0.00
7096656.00	1.00
7096668.00	0.00
7096716.00	1.00
7096727.00	0.00
7096775.00	1.00
7096786.00	0.00
7096834.00	1.00
7096845.00	0.00
7096892.00	1.00
7096903.00	0.00
7096953.00	1.00
7096964.00	0.00
7097012.00	1.00
7097023.00	0.00
7097070.00	1.00
7097081.00	0.00
7097128.00	1.00
7097139.00	0.00
7097190.00	1.00
7097206.00	0.00
7097255.00	1.00
7097663.00	0.00
7097723.00	1.00
7097739.00	0.00
7097799.00	1.00
7097811.00	0.00
7097860.00	1.00
7097871.00	0.00
7097920.00	1.00
7097932.00	0.00
7097979.00	1.00
7097990.00	0.00
7098038.00	1.00
7098049.00	0.00
7098096.00	1.00
7098107.00	0.00
7098156.00	1.00
7098167.00	0.00
7098217.00	1.00
7098228.00	0.00
7098276.00	1.00
7098288.00	0.00
7098336.00	1.00
7098347.00	0.00
7098395.00	1.00
7098411.00	0.00
7098463.00	1.00
7098475.00	0.00
7098524.00	1.00
7098536.00	0.00
7098583.00	1.00
7098595.00	0.00
7098644.00	1.00
7098660.00	0.00
7098710.00	1.00
7099120.00	0.00
7099183.00	1.00
7099199.00	0.00
7099253.00	1.00
7099265.00	0.00
7099320.00	1.00
7099332.00	0.00
7099388.00	1.00
7099399.00	0.00
7099453.00	1.00
7099465.00	0.00
7099513.00	1.00
7099525.00	0.00
7099573.00	1.00
7099584.00	0.00
7099635.00	1.00
7099647.00	0.00
7099696.00	1.00
7099707.00	0.00
7099755.00	1.00
7099767.00	0.00
7099814.00	1.00
7099825.00	0.00
7099873.00	1.00
7099884.00	0.00
7099932.00	1.00
7099943.00	0.00
7099990.00	1.00
7100002.00	0.00
7100051.00	1.00
7100062.00	0.00
7100111.00	1.00
7100127.00	0.00
7100177.00	1.00
7100586.00	0.00
7100656.00	1.00
7100673.00	0.00
7100725.00	1.00
7100737.00	0.00
7100786.00	1.00
7100798.00	0.00
7100845.00	1.00
7100857.00	0.00
7100905.00	1.00
7100916.00	0.00
7100964.00	1.00
7100975.00	0.00
7101024.00	1.00
7101035.00	0.00
7101083.00	1.00
7101095.00	0.00
7101143.00	1.00
7101154.00	0.00
7101202.00	1.00
7101213.00	0.00
7101261.00	1.00
7101272.00	0.00
7101320.00	1.00
7101332.00	0.00
7101380.00	1.00
7101391.00	0.00
7101445.00	1.00
7101457.00	0.00
7101507.00	1.00
7101518.00	0.00
7101568.00	1.00
7101584.00	0.00
7101634.00	1.00
7102036.00	0.00
7102097.00	1.00
7102113.00	0.00
7102166.00	1.00
7102178.00	0.00
7102228.00	1.00
7102240.00	0.00
7102288.00	1.00
7102299.00	0.00
7102348.00	1.00
7102359.00	0.00
7102413.00	1.00
7102425.00	0.00
7102476.00	1.00
7102487.00	0.00
7102535.00	1.00
7102546.00	0.00
7102611.00	1.00
7102622.00	0.00
7102670.00	1.00
7102682.00	0.00
7102729.00	1.00
7102740.00	0.00
7102788.00	1.00
7102799.00	0.00
7102846.00	1.00
7102858.00	0.00
7102905.00	1.00
7102916.00	0.00
7102963.00	1.00
7102974.00	0.00
7103023.00	1.00
7103039.00	0.00
7103089.00	1.00
7103496.00	0.00
7103560.00	1.00
7103576.00	0.00
7103627.00	1.00
7103639.00	0.00
7103688.00	1.00
7103699.00	0.00
7103749.00	1.00
7103760.00	0.00
7103809.00	1.00
7103820.00	0.00
7103868.00	1.00
7103879.00	0.00
7103929.00	1.00
7103940.00	0.00
7103991.00	1.00
7104002.00	0.00
7104050.00	1.00
7104061.00	0.00
7104111.00	1.00
7104122.00	0.00
7104170.00	1.00
7104181.00	0.00
7104228.00	1.00
7104240.00	0.00
7104290.00	1.00
7104302.00	0.00
7104349.00	1.00
7104361.00	0.00
7104419.00	1.00
7104431.00	0.00
7104483.00	1.00
7104500.00	0.00
7104550.00	1.00
7104956.00	0.00
7105014.00	1.00
7105030.00	0.00
7105089.00	1.00
7105101.00	0.00
7105151.00	1.00
7105162.00	0.00
7105210.00	1.00
7105221.00	0.00
7105271.00	1.00
7105282.00	0.00
7105330.00	1.00
7105341.00	0.00
7105388.00	1.00
7105400.00	0.00
7105454.00	1.00
7105467.00	0.00
7105514.00	1.00
7105525.00	0.00
7105572.00	1.00
7105584.00	0.00
7105632.00	1.00
7105643.00	0.00
7105691.00	1.00
7105703.00	0.00
7105752.00	1.00
7105764.00	0.00
7105811.00	1.00
7105824.00	0.00
7105871.00	1.00
7105883.00	0.00
7105932.00	1.00
7105948.00	0.00
7105997.00	1.00
7106400.00	0.00
7106465.00	1.00
7106480.00	0.00
7106531.00	1.00
7106543.00	0.00
7106591.00	1.00
7106603.00	0.00
7106653.00	1.00
7106664.00	0.00
7106714.00	1.00
7106726.00	0.00
7106773.00	1.00
7106784.00	0.00
7106831.00	1.00
7106842.00	0.00
7106893.00	1.00
7106904.00	0.00
7106953.00	1.00
7106964.00	0.00
7107011.00	1.00
7107023.00	0.00
7107072.00	1.00
7107083.00	0.00
7107130.00	1.00
7107142.00	0.00
7107189.00	1.00
7107200.00	0.00
7107248.00	1.00
7107259.00	0.00
7107308.00	1.00
7107319.00	0.00
7107367.00	1.00
7107383.00	0.00
7107439.00	1.00
7107844.00	0.00
7107906.00	1.00
7107922.00	0.00
7107974.00	1.00
7107986.00	0.00
7108034.00	1.00
7108046.00	0.00
7108094.00	1.00
7108105.00	0.00
7108153.00	1.00
7108164.00	0.00
7108213.00	1.00
7108225.00	0.00
7108272.00	1.00
7108284.00	0.00
7108331.00	1.00
7108342.00	0.00
7108390.00	1.00
7108401.00	0.00
7108454.00	1.00
7108466.00	0.00
7108519.00	1.00
7108530.00	0.00
7108577.00	1.00
7108589.00	0.00
7108637.00	1.00
7108648.00	0.00
7108695.00	1.00
7108707.00	0.00
7108756.00	1.00
7108767.00	0.00
7108817.00	1.00
7108833.00	0.00
7108884.00	1.00
7109293.00	0.00
7109357.00	1.00
7109372.00	0.00
7109435.00	1.00
7109448.00	0.00
7109500.00	1.00
7109512.00	0.00
7109566.00	1.00
7109578.00	0.00
7109627.00	1.00
7109638.00	0.00
7109686.00	1.00
7109698.00	0.00
7109747.00	1.00
7109760.00	0.00
7109808.00	1.00
7109820.00	0.00
7109867.00	1.00
7109878.00	0.00
7109927.00	1.00
7109939.00	0.00
7109986.00	1.00
7109998.00	0.00
7110045.00	1.00
7110057.00	0.00
7110104.00	1.00
7110115.00	0.00
7110163.00	1.00
7110174.00	0.00
7110229.00	1.00
7110240.00	0.00
7110289.00	1.00
7110306.00	0.00
7110355.00	1.00
7110768.00	0.00
7110837.00	1.00
7110853.00	0.00
7110904.00	1.00
7110916.00	0.00
7110965.00	1.00
7110977.00	0.00
7111026.00	1.00
7111037.00	0.00
7111085.00	1.00
7111096.00	0.00
7111144.00	1.00
7111156.00	0.00
7111203.00	1.00
