time	count
5632924.00	0.25
5632927.00	0.00
5633000.00	0.25
5633013.00	0.00
5633050.00	0.25
5633053.00	0.00
5633131.00	0.25
5633144.00	0.00
5633182.00	0.25
5633185.00	0.00
5633263.00	0.25
5633276.00	0.00
5633314.00	0.25
5633320.00	0.00
5633396.00	0.25
5633412.00	0.00
5633460.00	0.25
5633464.00	0.00
5633537.00	0.25
5633551.00	0.00
5633605.00	0.25
5633613.00	0.00
5633669.00	0.25
5633683.00	0.00
5633722.00	0.25
5633725.00	0.00
5633799.00	0.25
5633812.00	0.00
5633849.00	0.25
5633852.00	0.00
5633961.00	0.25
5634018.00	0.00
5634084.00	0.25
5634126.00	0.00
5634164.00	0.25
5634172.00	0.00
5634201.00	0.25
5634220.00	0.00
5634224.00	0.25
5634228.00	0.00
5634271.00	0.25
5634274.00	0.00
5634376.00	0.25
5634397.00	0.00
5634458.00	0.25
5634464.00	0.00
5634484.00	0.25
5634501.00	0.00
5634549.00	0.25
5634559.00	0.00
5634625.00	0.25
5634640.00	0.00
5634693.00	0.25
5634701.00	0.00
5634754.00	0.25
5634768.00	0.00
5634816.00	0.25
5634821.00	0.00
5634886.00	0.25
5634900.00	0.00
5634947.00	0.25
5634959.00	0.00
5635019.00	0.25
5635032.00	0.00
5635072.00	0.25
5635078.00	0.00
5635152.00	0.25
5635165.00	0.00
5635203.00	0.25
5635212.00	0.00
5635283.00	0.25
5635297.00	0.00
5635334.00	0.25
5635337.00	0.00
5635415.00	0.25
5635429.00	0.00
5635467.00	0.25
5635471.00	0.00
5635552.00	0.25
5635565.00	0.00
5635603.00	0.25
5635606.00	0.00
5635686.00	0.25
5635699.00	0.00
5635736.00	0.25
5635740.00	0.00
5635824.00	0.25
5635837.00	0.00
5635874.00	0.25
5635877.00	0.00
5635961.00	0.25
5635974.00	0.00
5636011.00	0.25
5636019.00	0.00
5636097.00	0.25
5636110.00	0.00
5636148.00	0.25
5636151.00	0.00
5636230.00	0.25
5636243.00	0.00
5636280.00	0.25
5636283.00	0.00
5636358.00	0.25
5636371.00	0.00
5636415.00	0.25
5636418.00	0.00
5636498.00	0.25
5636512.00	0.00
5636548.00	0.25
5636551.00	0.00
5636674.00	0.25
5636731.00	0.00
5636796.00	0.25
5636838.00	0.00
5636873.00	0.25
5636882.00	0.00
5636908.00	0.25
5636925.00	0.00
5636963.00	0.25
5636975.00	0.50
5636984.00	0.25
5636986.00	0.00
5637045.00	0.25
5637061.00	0.00
5637114.00	0.25
5637118.00	0.00
5637179.00	0.25
5637194.00	0.00
5637242.00	0.25
5637246.00	0.00
5637311.00	0.25
5637325.00	0.00
5637371.00	0.25
5637377.00	0.00
5637450.00	0.25
5637463.00	0.00
5637501.00	0.25
5637504.00	0.00
5637587.00	0.25
5637600.00	0.00
5637638.00	0.25
5637641.00	0.00
5637723.00	0.25
5637736.00	0.00
5637774.00	0.25
5637777.00	0.00
5637856.00	0.25
5637869.00	0.00
5637906.00	0.25
5637908.00	0.00
5637992.00	0.25
5638005.00	0.00
5638042.00	0.25
5638050.00	0.00
5638124.00	0.25
5638137.00	0.00
5638173.00	0.25
5638176.00	0.00
5638257.00	0.25
5638270.00	0.00
5638307.00	0.25
5638310.00	0.00
5638389.00	0.25
5638407.00	0.00
5638447.00	0.25
5638450.00	0.00
5638530.00	0.25
5638543.00	0.00
5638581.00	0.25
5638584.00	0.00
5638674.00	0.25
5638687.00	0.00
5638724.00	0.25
5638727.00	0.00
5638793.00	0.25
5638806.00	0.00
5638843.00	0.25
5638850.00	0.00
5638947.00	0.25
5638968.00	0.00
5639029.00	0.25
5639037.00	0.00
5639070.00	0.25
5639085.00	0.00
5639136.00	0.25
5639143.00	0.00
5639210.00	0.25
5639224.00	0.00
5639272.00	0.25
5639276.00	0.00
5639345.00	0.25
5639358.00	0.00
5639396.00	0.25
5639399.00	0.00
